id,IssuerName,ISIN,CouponRate,Maturity,high,low,last,yield%,change,credit_rating,currency,coupon_prd.
253,Mita,RVK39750,3.305,05/21/2035,412.119,409.894,410.561,3.316,-149.634,BB,GBP,S
254,Ooba,ANIX6885,0.121,11/22/2035,77.227,77.08,77.215,0.121,0.427,AAA,INR,Q
255,Centizu,BNJ9681,3.806,04/02/2040,146.024,135.35,145.063,3.82,0.155,B,INR,Q
256,Vitz,GMI036387,4.643,06/16/2022,403.211,392.687,399.212,4.665,-8.323,BB,GBP,A
257,Myworks,GNHD640,2.524,07/02/2040,329.052,312.764,322.211,2.53,-14.659,AAA,USD,A
258,Kayveo,RYTI8421,1.726,01/01/2029,370.821,348.016,360.787,1.729,24.168,C,INR,A
259,Gabtune,HKTU383562,4.81,07/06/2025,321.899,294.023,317.996,4.833,6.195,AA,USD,S
260,Mycat,SPE39509,4.837,03/30/2034,40.758,39.829,39.95,4.86,4.48,BB,GBP,Q
261,Oyonder,EPKJB313113,1.251,10/25/2023,55.274,51.128,53.284,1.253,-2.584,CCC,USD,S
262,Meejo,FWPT82651,4.228,03/30/2023,420.106,391.581,413.545,4.246,1.911,CC,USD,S
263,Photospace,LGVDK105,1.941,01/31/2021,87.155,84.793,85.289,1.945,-0.721,BB,INR,A
264,Devpoint,PHK76249,1.468,08/19/2045,86.136,84.56,85.364,1.47,-0.612,AA,USD,S
265,Kazu,CWTR415620,0.442,06/11/2045,305.484,290.21,291.279,0.442,33.705,CCC,USD,Q
266,Omba,IFAGL693780,2.851,02/19/2046,53.178,48.945,52.204,2.859,-2.257,BB,INR,A
267,Aibox,NDHQ271116,4.518,08/13/2030,145.358,133.032,134.018,4.538,0.184,A,GBP,Q
268,Youspan,EWJ16048,3.575,07/19/2041,166.37,165.754,166.241,3.588,28.974,A,INR,Q
269,Buzzbean,PURID048015,1.735,07/29/2031,192.554,173.953,185.3,1.738,2.049,AAA,GBP,Q
270,InnoZ,UKGX94498,1.74,03/26/2028,464.592,418.551,437.428,1.743,52.066,A,INR,S
271,Wordpedia,RZCJQ59201,4.017,09/09/2029,476.249,449.103,467.562,4.033,-25.25,AA,USD,S
272,Skinte,IRD588003,4.788,04/24/2040,389.128,385.743,388.451,4.811,123.119,AA,GBP,A
273,Gabtune,NSJRF215331,2.467,06/29/2028,120.308,117.842,119.839,2.473,1.567,B,INR,Q
274,Photofeed,VHQAG19085,1.629,01/14/2024,444.614,437.545,440.09,1.632,23.23,BBB,EUR,A
275,Skiptube,BZS877,1.602,04/09/2049,313.444,284.889,306.02,1.605,35.572,B,USD,S
276,Podcat,NKQ024,2.661,01/20/2022,352.551,335.911,341.236,2.668,6.955,A,INR,A
277,Devpoint,JYM04979,1.319,12/27/2025,407.838,400.13,400.438,1.321,0.156,B,GBP,S
278,Centidel,SQPZK52424,0.129,09/17/2028,107.621,107.234,107.613,0.129,-21.12,B,USD,A
279,Dabshots,FJUC2354,4.889,09/03/2029,25.189,23.537,24.363,4.913,-0.328,B,INR,A
280,Npath,HUXY23732,1.189,04/19/2030,491.925,478.151,486.14,1.19,100.374,AA,INR,Q
281,Yabox,MSEA955,4.562,08/07/2021,27.198,25.604,25.843,4.583,-1.549,BB,EUR,A
282,Devpulse,HMC734,1.498,03/29/2029,182.567,172.179,174.776,1.5,3.273,BBB,EUR,S
283,Trunyx,NZAIU264,1.429,09/03/2034,307.234,289.998,298.788,1.431,44.661,CC,USD,A
284,Yadel,HTG1430,0.848,05/05/2028,92.094,88.106,88.306,0.849,0.454,BBB,USD,Q
285,Browsebug,JPK082,0.356,07/12/2033,398.593,375.714,377.544,0.356,14.877,AA,EUR,S
286,LiveZ,BAEFO44697,1.267,06/19/2033,52.184,52.022,52.032,1.269,2.721,BBB,USD,A
287,Realmix,FLJ18977,4.603,01/21/2027,496.621,493.294,496.055,4.624,-37.868,BBB,INR,A
288,Myworks,DKCOV4141,4.553,08/15/2023,102.601,92.864,99.777,4.574,-1.668,B,USD,S
289,Meevee,ZDJWR8707,2.575,08/09/2045,283.067,281.425,282.492,2.582,14.389,BB,EUR,A
290,Aimbo,MGF288680,0.252,10/31/2044,161.143,146.141,149.141,0.252,18.817,BBB,EUR,Q
291,Agivu,FBLR83963,1.005,05/13/2020,258.09,254.735,255.372,1.006,1.724,CC,INR,S
292,Yata,EPUYD902821,2.839,06/08/2044,481.005,470.182,477.434,2.847,-10.413,A,INR,S
293,Buzzster,FWX6552,3.402,10/31/2047,224.784,208.285,211.09,3.414,4.476,AAA,INR,Q
294,Twimbo,LWYJB12762,3.634,10/03/2021,54.425,50.512,54.073,3.647,-0.857,A,USD,A
295,Twimbo,ZMTSL038261,4.097,01/28/2044,211.634,196.989,200.797,4.114,50.648,AA,GBP,A
296,Gevee,INR270,2.772,03/19/2048,301.853,279.938,290.019,2.78,-36.199,AA,GBP,S
297,Meevee,CYZ893246,0.014,07/27/2021,197.081,193.218,196.811,0.014,-0.208,CCB,INR,Q
298,Eimbee,GAR90830,2.602,12/15/2024,465.734,445.381,459.425,2.609,17.502,AAA,USD,S
299,Skibox,KOCQG972,1.319,02/10/2025,178.964,167.26,178.847,1.321,7.328,BB,GBP,A
300,Innojam,BTMPV0490,3.102,08/19/2021,214.524,201.009,211.551,3.112,-2.49,CCB,EUR,Q
301,Twitterbeat,OJE9993,4.358,03/21/2027,180.305,180.251,180.302,4.377,12.002,BB,EUR,Q
302,Zoomzone,GMUJB472,2.539,02/27/2033,312.093,283.256,292.484,2.545,19.352,AA,INR,S
303,Mydo,IDHXO241578,0.498,08/14/2048,157.777,144.555,156.984,0.498,-1.212,CCB,EUR,S
304,Youfeed,KBLZ081,2.513,03/13/2050,135.985,127.364,132.019,2.519,-16.163,AA,USD,A
305,Topicblab,KOI571296,1.578,08/01/2026,347.183,324.304,343.751,1.58,37.74,AAA,EUR,Q
306,Zoombeat,JCK8330,1.847,10/20/2049,176.052,161.334,168.399,1.85,19.119,AA,EUR,S
307,Devify,EGY93023,1.922,03/12/2021,459.861,425.877,454.084,1.926,1.455,CCB,INR,Q
308,Dynava,WNH384430,0.491,06/03/2032,272.286,258.29,266.408,0.491,-13.702,C,EUR,S
309,Teklist,OFENC99329,2.447,04/02/2037,293.63,275.777,288.274,2.453,12.528,A,USD,S
310,Oodoo,EXQ730683,0.478,08/03/2026,62.189,57.17,59.529,0.478,4.757,B,USD,S
311,Dynazzy,PAUBK948,1.34,12/19/2025,85.986,83.406,83.432,1.342,-8.037,A,INR,Q
312,Oyonder,WKPM0495,2.164,11/28/2024,179.261,175.066,175.695,2.169,-1.401,AA,USD,S
313,Talane,EXIUZ7428,3.451,11/24/2047,18.638,18.191,18.553,3.463,1.476,BBB,INR,A
314,Yozio,AND4495,4.344,02/15/2033,457.226,430.158,432.594,4.363,-0.162,BB,USD,A
315,Buzzdog,QPDI144,0.781,10/17/2043,450.005,442.76,447.759,0.782,3.083,B,INR,S
316,Flipbug,ILX39770,0.583,04/22/2040,173.17,171.196,171.295,0.583,-3.54,A,GBP,A
317,Feedbug,FLA97653,4.68,07/04/2021,240.802,229.075,239.16,4.702,8.65,A,GBP,S
318,Thoughtbridge,UWD61982,2.458,03/30/2021,23.429,21.794,22.546,2.464,-0.127,A,INR,A
319,Twimm,CHLD28260,2.604,01/21/2039,26.264,24.024,24.472,2.611,0.228,CCB,GBP,A
320,Yakijo,FUONS11988,3.486,12/11/2048,370.134,344.447,352.924,3.498,-14.033,A,USD,Q
321,Skinder,VIS750,2.967,01/10/2022,166.556,164.741,165.975,2.976,27.831,A,INR,A
322,Tanoodle,JSPD43449,2.81,11/13/2030,427.476,392.508,413.489,2.818,-0.339,A,USD,Q
323,Digitube,DKCBE106,4.847,01/05/2032,177.743,174.97,175.164,4.87,27.795,BBB,GBP,Q
324,Vitz,LNAK290359,4.589,12/23/2024,137.024,136.243,136.805,4.61,5.195,A,EUR,S
325,Blogpad,JMQ261,4.293,04/07/2032,116.091,104.865,114.407,4.311,11.442,CC,USD,S
326,Kazio,EPW837210,1.933,08/01/2041,137.234,126.928,127.752,1.937,-1.304,AA,USD,Q
327,Voonte,SXT93441,4.132,07/04/2022,232.013,225.609,227.274,4.149,-0.661,A,INR,A
328,Quamba,EZR404902,4.095,09/02/2047,137.513,125.838,133.077,4.112,-0.722,BB,EUR,S
329,Wikivu,MJQ677,3.035,02/16/2032,211.736,197.592,206.361,3.044,47.537,AA,EUR,A
330,Trilia,BFNY595184,0.839,04/10/2046,226.478,220.159,224.14,0.84,6.563,AAA,USD,S
331,Innotype,DJFX242703,3.007,03/07/2022,350.477,349.566,349.63,3.016,-30.56,BB,EUR,A
332,Oyonder,JDE87444,2.31,07/01/2028,166.796,166.446,166.568,2.315,-4.238,BB,INR,A
333,Skinix,HATU309896,1.75,07/19/2049,348.989,348.919,348.983,1.753,-0.38,AAA,USD,Q
334,Dabjam,JVYKM1485,0.791,11/16/2020,186.187,175.947,186.085,0.792,10.897,AA,EUR,Q
335,Quinu,AXQS777832,4.668,02/08/2036,257.133,235.2,249.456,4.69,37.936,AAA,USD,A
336,Meetz,CROJH84185,2.12,04/13/2022,379.991,360.459,365.342,2.124,64.487,CC,INR,A
337,Flashspan,BRCM298595,2.144,08/26/2022,430.236,419.48,428.3,2.149,-4.118,AAA,EUR,Q
338,Skyndu,DFON0983,4.771,09/04/2043,257.099,248.743,253.172,4.794,1.906,AA,USD,Q
339,Devpoint,NHZMT1031,1.778,09/20/2029,159.579,157.584,158.382,1.781,-1.605,CCB,EUR,S
340,Chatterbridge,VCSU312,3.162,03/21/2048,43.637,42.114,42.647,3.172,-2.585,BBB,GBP,Q
341,Zoombox,FMCTS468,1.971,01/29/2047,39.858,37.494,37.896,1.975,-2.313,AA,EUR,A
342,Rhynyx,ZTKW45872,2.879,05/24/2044,32.348,31.594,31.79,2.887,0,CCB,USD,Q
343,Gabtune,GOHF422506,2.719,07/04/2031,37.315,34.871,36.02,2.726,-0.429,BBB,GBP,Q
344,Fadeo,FOWA39223,4.997,07/30/2026,351.093,321.285,326.949,5.022,-7.073,BBB,USD,A
345,Brightbean,BJMXL12126,2.994,03/30/2039,480.899,469.79,472.123,3.003,-76.963,AA,GBP,A
346,Kazio,ONEQH022,0.587,04/30/2023,370.904,347.723,355.141,0.587,5.939,A,INR,S
347,Kwideo,JTE33096,2.575,10/15/2030,471.853,458.735,468.18,2.582,80.761,BBB,GBP,A
348,Gigabox,FBQ833,2.432,01/21/2024,482.609,457.513,481.354,2.438,-19.975,AA,EUR,A
349,Tekfly,PJQ1976,1.253,09/13/2021,351.047,335.776,350.436,1.255,229.584,B,GBP,Q
350,Photobug,ZIQJ812059,0.362,10/27/2037,25.72,25.543,25.697,0.362,0,A,EUR,Q
351,Dabjam,PNCF18918,1.689,08/17/2025,265.594,258.476,261.394,1.692,35.938,B,INR,S
352,Gabtype,ITWMA661,1.535,03/07/2022,360.972,358.987,360.575,1.537,-11.833,BB,EUR,A
353,Jamia,IUA535,1.163,03/05/2020,181.077,177.944,181.046,1.164,2.141,BBB,GBP,Q
354,Tagcat,ELSKG109188,0.278,07/16/2043,136.747,135.913,136.589,0.278,9.51,BB,GBP,Q
355,Jabberstorm,NPAK87687,2.048,12/30/2027,363.677,350.985,360.504,2.052,-6.704,A,EUR,Q
356,Kayveo,ZKCJX940449,4.998,01/13/2022,481.255,454.834,477.292,5.023,-8.295,CCB,GBP,Q
357,Yambee,UTLVI49254,2.44,01/17/2024,227.102,225.104,225.683,2.446,6.467,AA,GBP,A
358,Gigazoom,YFU7169,2.552,07/05/2045,252.552,241.465,241.687,2.559,14.847,A,EUR,S
359,Jayo,DJEP13934,2.078,09/17/2018,49.722,45.67,47.129,2.082,3.431,AA,GBP,S
360,Tagtune,WHRY550444,0.27,01/22/2041,404.166,375.066,389.325,0.27,2.858,AA,EUR,S
361,Twinte,UBHFI9354,3.233,10/06/2025,400.545,377.153,388.615,3.243,36.701,BBB,USD,Q
362,Abatz,CIHW992071,1.298,05/16/2028,491.078,489.85,490.955,1.3,-28.73,C,USD,A
363,Livepath,OZR97593,1.097,10/25/2033,55.666,54.681,55.489,1.098,-4.615,C,USD,S
364,Eare,KALCG4894,4.622,02/11/2020,432.898,408.569,413.192,4.643,37.046,AA,GBP,S
365,Roodel,FULBX527991,3.005,01/13/2045,32.144,30.244,31.821,3.014,0.972,AA,EUR,Q
366,Zooxo,VTBA4834,2.49,02/12/2031,295.129,293.122,293.182,2.496,71.831,CCB,INR,A
367,Trunyx,DFZS038533,4.962,03/26/2047,113.634,106.68,111.687,4.987,7.999,AA,GBP,Q
368,Gabvine,XFUVE731,3.994,10/18/2035,437.692,417.339,419.375,4.01,-1.061,BBB,GBP,A
369,Aibox,NPRO9099,1.686,09/30/2047,174.119,169.278,173.732,1.689,-5.642,AA,USD,Q
370,Innojam,CBK23283,0.453,04/16/2046,218.319,211.049,211.194,0.453,-1.526,AA,EUR,S
371,Skyble,FKHUM07498,2.446,09/08/2045,345.415,314.431,334.261,2.452,32.441,CCC,INR,Q
372,Devcast,JWQ01894,2.274,06/16/2027,102.912,100.061,102.427,2.279,-7.397,AA,EUR,Q
373,Bubblemix,KFLA979260,0.218,07/26/2049,257.247,239.574,242.225,0.218,-8.964,C,GBP,S
374,Oozz,MDUQJ212796,4.573,08/11/2030,476.15,444.867,453.626,4.594,-27.707,A,USD,A
375,Jabbersphere,IFRJY103,1.962,04/11/2047,300.871,281.886,290.999,1.966,-0.962,A,USD,Q
376,Eimbee,SNPDK61370,1.157,11/27/2019,88.493,81.891,86.843,1.158,1.494,CCB,INR,S
377,Riffwire,KGMR5106,4.148,04/05/2021,134.931,126.633,130.284,4.165,0.406,BBB,EUR,A
378,Skiptube,ODZSN3092,3.676,08/26/2033,375.344,359.992,367.975,3.69,19.493,CCC,INR,Q
379,Riffpath,LDFK80855,2.741,05/27/2031,26.81,25.4,25.583,2.749,-1.524,A,INR,Q
380,Centidel,AOT251,4.036,02/06/2050,203.991,193.465,193.57,4.052,20.666,BB,INR,S
381,Bubblebox,LOKQ845,1.715,07/27/2026,170.39,156.384,165.068,1.718,8.001,BB,USD,Q
382,Photobug,UIGYL55478,3.782,08/03/2036,110.229,99.526,100.275,3.796,18.891,BB,INR,A
383,Topdrive,JYN190,0.581,03/19/2022,463.346,447.268,457.397,0.581,-11.554,A,GBP,Q
384,Rooxo,TDVPB08557,1.461,10/11/2018,417.504,411.868,416.151,1.463,10.879,AAA,GBP,S
385,Blogspan,SADQ558,0.472,12/12/2028,221.528,204.936,211.075,0.472,4.508,BBB,GBP,S
386,Chatterpoint,GSUJL0483,0.523,07/19/2042,70.43,66.338,66.788,0.523,-1.295,AAA,INR,S
387,Meejo,YIV2177,1.514,10/08/2031,137.816,131.559,137.19,1.516,7.629,B,INR,A
388,Tagtune,QHIFN673,4.377,07/17/2024,178.699,173.32,173.804,4.396,-0.547,A,EUR,S
389,Vipe,JVYC067905,1.377,03/21/2033,309.006,285.676,305.973,1.379,66.299,AA,USD,S
390,Feedfish,KFMVX964,4.445,04/02/2039,270.625,245.998,252.401,4.465,-9.395,AA,USD,S
391,Meeveo,FIED2732,4.925,05/02/2040,189.94,178.088,181.762,4.949,4.812,CCC,INR,Q
392,Voolia,YHPT890,0.601,11/27/2040,247.845,235.453,236.568,0.601,41.334,B,USD,S
393,Miboo,NIBUH786260,0.779,03/17/2036,338.281,326.746,333.551,0.78,106.96,AAA,EUR,Q
394,Einti,JOK301434,2.181,07/22/2025,222.67,211.848,219.099,2.186,-30.263,AA,GBP,Q
395,Quinu,YRAWH5082,4.146,03/14/2033,324.634,314.57,317.891,4.163,1.087,CCB,GBP,S
396,Pixonyx,VJGU0192,2.201,03/12/2027,217.157,201.804,216.696,2.206,1.095,CC,USD,A
397,Gabspot,MKBAQ247,2.115,10/24/2038,191.093,186.621,190.914,2.119,-14.192,B,INR,S
398,Pixonyx,KJEIH3647,4.772,11/01/2036,399.381,398.103,398.716,4.795,2.964,B,EUR,S
399,Feednation,XAN9072,3.522,02/16/2032,182.274,178.647,182.274,3.534,-14.235,AA,EUR,A
400,Camimbo,BLY018,4.996,10/17/2035,100.197,93.354,97.939,5.021,0.258,CCB,INR,A
401,Mymm,PYI572,0.437,01/27/2027,42.174,39.935,42.129,0.437,1.665,CC,EUR,A
402,Innotype,BIXUD85547,2.276,11/29/2049,30.105,27.657,27.706,2.281,3.067,AA,EUR,A
403,Photojam,BWAK7005,2.434,01/13/2041,17.451,16.985,17.185,2.44,-0.604,A,USD,A
404,Flashspan,ALI990,1.045,06/20/2019,239.99,223.647,233.78,1.046,-7.777,BBB,GBP,A
405,Centimia,JVBS437,3.626,05/16/2037,251.37,232.115,245.594,3.639,-0.872,B,INR,A
406,Flipstorm,PENJ905233,1.609,01/26/2046,405.381,389.652,390.281,1.612,-27.424,AA,USD,S
407,Devcast,YTZP558382,2.786,03/14/2029,323.727,320.328,322.707,2.794,31.491,CCB,GBP,A
408,Skajo,KIQGF041497,0.09,11/07/2042,353.288,346.682,349.588,0.09,6.945,A,USD,A
409,Divavu,HKP0172,3.347,09/21/2018,375.078,346.422,373.072,3.358,0.557,A,EUR,A
410,Avaveo,JHAT02857,2.972,02/23/2026,162.154,156.025,159.457,2.981,0.341,AA,INR,A
411,Twiyo,CXEB158203,0.136,02/04/2042,471.804,467.982,471.116,0.136,-21.612,CCC,USD,A
412,Abatz,OWRU648845,4.949,12/16/2038,348.43,316.096,324.179,4.973,-3.944,AAA,USD,S
413,Zooveo,MEC7589,1.221,07/21/2032,326.752,324.89,325.094,1.222,8.249,A,GBP,S
414,Zoonder,EFWJC26219,1.912,02/01/2021,211.237,200.02,207.199,1.916,-22.268,A,GBP,Q
415,Eabox,SKJBM647,3.999,10/07/2033,183.892,178.449,181.279,4.015,-4.386,A,USD,A
416,Rhynyx,DPSBE0144,4.26,10/13/2037,87.091,79.314,80.791,4.278,-8.953,C,INR,S
417,Roodel,YOWL66154,3.171,07/15/2044,190.01,179.103,189.137,3.181,12.427,AA,GBP,S
418,Livefish,UOIEY983,1.757,05/01/2028,238.345,233.149,233.617,1.76,-31.735,BBB,EUR,A
419,Edgepulse,OQT115,4.207,01/25/2037,170.488,159.867,170.488,4.225,-5.816,AA,USD,S
420,Roomm,SADF75967,4.8,12/23/2036,363.868,361.721,363.847,4.823,1.576,AA,EUR,Q
421,Shufflebeat,VYRFS955668,2.529,02/02/2046,114.916,114.583,114.653,2.535,2.76,AA,USD,Q
422,Twitternation,SLQ5724,0.635,05/31/2047,433.18,431.794,432.334,0.635,-0.186,BBB,EUR,S
423,Voomm,GMF102748,2.429,03/28/2046,339.728,314.86,327.791,2.435,-2.466,A,INR,Q
424,Tagcat,NPBI849,2.589,04/30/2035,189.289,187.15,188.177,2.596,-18.29,A,INR,Q
425,Lajo,SUWD0178,3.718,01/14/2046,337.703,321.223,330.452,3.732,-0.892,BB,GBP,A
426,Voomm,LJW81010,0.445,03/07/2032,284.614,279.776,282.824,0.445,0.397,C,GBP,S
427,Bluejam,TUMCX25728,0.695,08/27/2043,332.915,300.422,319.918,0.695,-56.18,AA,EUR,S
428,Brainverse,VEGAT056,1.61,01/12/2035,18.281,16.488,18.245,1.613,0.758,CC,EUR,A
429,Muxo,WYLD73920,0.646,01/27/2022,345.808,340.344,343.459,0.646,-9.556,AA,EUR,Q
430,Wikibox,JVDXM693748,2.193,03/03/2024,165.179,152.345,162.74,2.198,0.353,AA,EUR,S
431,Trupe,EQW1393,0.207,04/13/2048,410.131,385.564,401.778,0.207,-11.319,A,EUR,A
432,Bluejam,GLMJP943,3.743,07/16/2020,185.82,182.512,184.001,3.757,8.894,CCB,EUR,Q
433,Kare,DAEL511829,1.805,04/23/2048,435.678,429.579,432.567,1.808,-22.073,A,INR,A
434,Feednation,FVCP205,3.995,04/06/2033,62.936,59.852,61.055,4.011,13.038,BB,EUR,S
435,Eare,FTX004,3.952,08/11/2039,233.101,210.84,227.758,3.968,-17.153,AAA,INR,Q
436,Meejo,PBZK16837,0.272,09/12/2046,462.488,442.647,444.235,0.272,13.686,AAA,GBP,S
437,Oyondu,MFL875,3.137,05/12/2036,471.995,444.336,461.485,3.147,27.047,AAA,GBP,S
438,Mynte,DACRV626,3.993,10/01/2022,70.424,67.262,68.653,4.009,-1.632,AA,GBP,A
439,Meembee,DPCF2106,4.468,07/12/2044,211.838,199.128,208.025,4.488,-7.974,B,USD,S
440,Ozu,NCJQ8783,4.341,05/06/2033,51.211,47.042,47.501,4.36,-0.385,B,GBP,Q
441,Agimba,RYDWG001,0.99,06/07/2032,162.887,153.163,161.039,0.991,0.518,CC,USD,S
442,Voomm,EFG122,0.693,03/29/2050,408.585,387.502,397.2,0.693,-3.892,C,USD,S
443,Fliptune,UGOI585551,3.567,02/21/2049,398.595,371.969,398.062,3.58,-7.678,BBB,EUR,S
444,Browsedrive,NSFW365561,3.761,07/15/2030,46.327,43.024,46.228,3.775,0.214,CCC,EUR,A
445,Mynte,AFE82121,0.684,06/28/2033,152.546,148.504,150.484,0.684,8.836,C,EUR,Q
446,Quamba,OBY1377,0.81,06/23/2024,463.048,450.916,462.199,0.811,25.525,A,EUR,S
447,Skyba,YFLQ52028,1.081,11/19/2038,82.939,80.575,81.781,1.082,-0.253,A,INR,S
448,Thoughtbeat,UMF33910,1.543,10/05/2042,362.309,328.035,331.462,1.545,-3.243,C,EUR,Q
449,Divanoodle,XPLJT970345,1.872,04/09/2031,200.553,191.207,198.59,1.876,-4.061,AA,EUR,S
450,Twimm,AKCX6243,2.265,03/14/2023,415.296,385.229,404.171,2.27,39.832,AA,EUR,Q
451,Katz,ZFC3871,0.286,02/27/2031,421.883,402.35,412.702,0.286,38.932,A,EUR,A
452,Zoomdog,EVKBJ977736,2.342,12/07/2045,341.308,338.646,338.832,2.347,10.108,A,USD,A
453,Thoughtbridge,DPZJ2589,4.833,07/11/2025,155.449,141.023,152.708,4.856,6.258,AAA,EUR,Q
454,Jabberbean,YKHCX5210,2.204,05/13/2019,116.697,105.914,114.648,2.209,1.07,B,EUR,S
455,Dabtype,XVP960,0.472,08/23/2043,228.505,223.318,224.044,0.472,1.744,AA,USD,A
456,Oozz,IEH50636,2.44,02/01/2035,204.532,187.392,201.618,2.446,-4.737,AA,EUR,Q
457,Realfire,QAH182701,2.669,05/25/2029,73.926,70.415,71.854,2.676,3.884,BBB,INR,S
458,Demimbu,DGR227,4.229,12/01/2019,295.193,279.518,288.766,4.247,-6.455,CCB,GBP,Q
459,Thoughtstorm,BCA050,4.341,05/07/2029,496.26,460.281,475.392,4.36,1.833,B,USD,A
460,Mydeo,ZFA61054,3.15,05/12/2035,181.607,170.801,173.071,3.16,-4.467,A,USD,S
461,Tambee,YODJK810838,0.039,04/14/2049,302.722,280.532,288.521,0.039,-2.879,AAA,EUR,S
462,Zoomcast,JDOX1837,2.641,07/23/2047,235.808,230.667,231.747,2.648,-4.432,A,GBP,S
463,Jabbersphere,YVX346495,0.809,02/20/2038,347.816,331.677,334.26,0.81,0.101,CCC,GBP,Q
464,Zooxo,SAZ271390,2.88,06/29/2027,477.207,450.865,452.446,2.888,-18.231,B,EUR,A
465,Devshare,JYH12611,1.682,02/02/2026,124.46,121.299,121.741,1.685,2.714,BB,INR,S
466,Feedfish,SHUFZ262485,2.879,07/04/2022,190.205,180.847,185.058,2.887,5.883,BB,GBP,Q
467,Cogidoo,NVKSY5675,3.147,06/29/2039,347.797,313.087,341.202,3.157,1.453,A,USD,Q
468,Browsecat,WHE621104,3.518,04/07/2035,433.351,407.783,432.584,3.53,18.31,AAA,GBP,A
469,Cogilith,ZTV90329,0.26,05/18/2048,54.923,53.094,53.606,0.26,38.306,A,EUR,Q
470,Devify,USZR383,0.493,03/29/2040,118.72,115.087,117.957,0.493,-0.085,BBB,GBP,Q
471,Fivebridge,EPHB701611,3.43,04/18/2036,340.142,325.686,326.264,3.442,0.813,CCB,USD,S
472,Tagopia,LFDVI962141,3.826,09/24/2034,40.023,36.289,37.82,3.841,-2.834,A,USD,Q
473,Zoomlounge,NJDTZ675487,3.799,11/26/2033,285.8,271.853,284.266,3.813,-6.039,C,GBP,S
474,Vimbo,TWZR57508,3.803,09/26/2034,259.87,237.599,243.167,3.817,1.905,B,GBP,S
475,Skinix,JLXI8133,4.64,02/10/2026,331.226,304.264,315.319,4.662,2.186,BB,USD,Q
476,Wikido,ZSV261,4.632,02/25/2031,131.1,129.107,129.805,4.653,36.701,BBB,EUR,A
477,Topdrive,LJZ297457,4.619,10/27/2039,324.202,303.907,321.767,4.64,7.544,CCB,INR,S
478,Aibox,SEFR99056,2.301,05/28/2029,310.052,280.039,300.148,2.306,16.58,C,INR,Q
479,Flashspan,DULPG013455,1.998,02/21/2041,475.825,457.506,459.521,2.002,2.035,A,GBP,S
480,Edgepulse,XBGFQ8372,4.533,05/18/2035,459.462,436.397,451.62,4.554,23.021,A,GBP,A
481,Oyoyo,IZCBP1587,2.258,03/05/2028,80.714,73.07,75.822,2.263,0.625,CCC,USD,A
482,Flashspan,GTQ44159,4.877,10/24/2037,202.08,194.785,201.278,4.901,-11.809,BBB,GBP,Q
483,Skinix,OMB492,3.424,07/31/2042,71.794,66.043,71.046,3.436,0.469,CCB,USD,A
484,Dazzlesphere,FOCV9872,4.809,11/10/2036,129.049,125.539,125.785,4.832,2.81,AA,INR,Q
485,Twimbo,IXSC4106,2.364,08/19/2045,413.734,409.348,412.111,2.37,18.727,B,INR,S
486,Einti,SDAX683979,2.307,10/02/2032,196.22,186.193,190.505,2.312,-4.364,AA,GBP,A
487,Zazio,NHEIL2213,0.872,10/19/2038,42.927,42.352,42.927,0.873,-0.207,CCB,INR,Q
488,Photobean,CSE095,4.879,12/08/2048,49.258,45.613,49.076,4.903,-3.572,A,INR,A
489,Zava,NZA359486,0.34,02/18/2045,270.779,256.292,270.489,0.34,-3.315,A,USD,A
490,Skipfire,FSE06771,4.026,04/11/2027,144.126,136.084,142.598,4.042,6.015,BBB,USD,A
491,Brainlounge,HZBR19035,4.033,03/24/2038,37.38,35.29,37.129,4.049,0.851,CCC,GBP,S
492,Quatz,QRPE486206,2.574,03/02/2020,52.518,50.654,51.269,2.581,1.169,B,EUR,S
493,Thoughtmix,SOF587,0.436,08/13/2032,38.516,36.332,36.922,0.436,-8.283,AA,GBP,Q
494,Youbridge,ARHYK4589,1.876,06/14/2024,440.468,407.257,435.818,1.88,-69.389,AAA,EUR,A
495,Skynoodle,WAR173375,0.175,01/01/2024,406.715,368.402,399.052,0.175,13.277,AAA,USD,A
496,Yodo,ZCQUM907942,1.406,11/06/2027,223.34,218.985,223.253,1.408,25.028,BB,USD,Q
497,Kwilith,ZXS2652,0.188,09/20/2037,49.31,45.814,48.401,0.188,0.135,A,USD,A
498,Avamm,EONUG483,1.395,10/04/2049,174.998,172.111,173.901,1.397,-72.643,CCB,INR,A
499,Skidoo,FVKU839,2,09/17/2026,283.958,270.64,274.902,2.004,-2.459,AA,GBP,Q
500,Shuffledrive,FMAP161,1.215,11/10/2045,222.987,201.892,205.9,1.216,-2.884,AA,USD,S
501,Ntags,BZE32994,1.631,06/11/2043,105.025,97.6,101.461,1.634,-2.917,CCB,INR,Q
502,Realbridge,ZPUF086544,2.362,08/04/2020,53.192,49.245,49.442,2.368,-4.137,A,INR,S
503,Rhyzio,HLW106806,2.664,12/04/2019,189.261,185.192,187.959,2.671,7.564,B,USD,S
504,Jamia,ORECL43535,0.12,01/23/2021,116.25,113.367,114.578,0.12,12.322,B,USD,Q
505,Lazz,RDGWX73196,1.891,01/15/2020,394.894,363.658,392.395,1.895,9.447,B,USD,A
506,Fliptune,IBXU503,1.018,03/26/2037,385.267,376.945,378.61,1.019,-1.056,A,EUR,S
